94871,889
45252,135
90833,774
1570,161
46935,506
9184,378
91617,406
23698,474
72142,788
48213,721
19537,313
53055,537
10634,59
10791,97
2996,57
43411,293
47019,695
22702,313
16492,361
75966,933
78861,234
4002,271
10807,121
46400,398
47675,693
57028,293
71403,407
98098,878
64113,584
16584,437
95934,733
27027,456
24635,94
13961,276
57946,745
24887,474
95090,727
86163,880
98518,474
22855,312
94556,693
2535,246
27806,489
93716,894
10898,313
18761,234
66401,922
3167,174
34047,385
87963,751
45363,38
82435,178
41283,286
7671,276
78313,864
28658,454
42162,606
98565,661
97065,406
95731,181
15500,412
20039,421
86094,606
64972,742
26257,454
81551,665
36399,385
20406,389
93054,868
29565,515
21051,144
98621,109
11512,243
86324,63
89922,385
587,79
86484,538
93701,758
19415,398
23595,315
22140,128
79423,537
94129,551
32464,524
58572,606
48275,642
87249,176
43264,508
70669,556
84950,621
92371,927
26929,436
2962,168
56189,823
29955,207
55516,493
34540,303
44929,301
36420,82
30218,201
71091,747
32609,332
80528,501
11954,60
58028,497
34860,119
31501,362
54644,178
61421,674
92394,488
89278,727
42592,537
89015,918
22139,299
59830,796
46286,724
36778,410
86821,648
73501,880
38107,459
62855,253
78022,628
18085,430
59148,627
58925,838
21297,139
2013,239
35406,363
94124,870
81102,486
56456,840
96633,932
9085,135
85668,790
38643,559
64604,821
34890,352
3594,7
39880,535
20447,313
99086,909
99633,465
74402,778
846,58
2287,59
83925,828
18164,311
87824,889
40498,660
86699,588
55764,244
68374,823
18434,148
47157,270
36412,56
96265,795
2033,269
83985,815
97917,346
69382,856
96497,705
85513,833
95011,276
48046,332
16433,308
4179,207
58879,447
98592,292
79725,299
54102,659
50518,751
42531,432
83293,892
17573,354
5955,191
74469,59
83230,758
71163,279
47702,641
82879,903
89904,910
10094,380
85425,879
54565,655
44866,45
74696,452
6531,314
74333,936
3648,280
49489,207
99205,479
55828,450
13227,58
81873,425
32158,454
51540,149
60533,861
44506,618
27716,293
52097,613
37364,407
31361,269
26680,429
43540,341
31492,374
92793,705
79606,799
226,125
17004,62
65031,556
51765,749
4023,217
66047,922
11955,267
85047,590
93298,938
94433,669
14038,295
24006,367
93895,320
25914,194
93713,800
79475,863
41552,661
3053,234
10693,226
99642,59
93602,798
73933,524
69957,514
97926,43
62288,457
99095,294
5472,308
33412,523
34234,116
59864,297
3674,96
5332,262
83385,934
41337,591
94362,926
95747,878
56421,393
67883,395
40178,452
10080,65
27260,145
3477,83
91961,659
37094,552
3909,1
19946,102
95567,106
40812,536
58459,535
23583,104
99594,537
36197,501
74572,297
57029,772
1428,59
71994,615
16201,241
75363,757
72399,823
74764,774
46870,727
85917,701
70022,363
54363,693
61137,664
97193,454
67513,846
38136,534
99353,883
76788,453
90432,846
56441,435
14666,122
18302,92
67362,940
50349,600
95208,922
83899,303
23659,165
84319,173
46270,566
12063,393
5922,21
99502,802
28545,504
74166,835
90857,705
36616,345
57149,772
72165,846
83436,932
11063,210
72226,889
62647,506
1940,191
60639,781
2506,296
153,269
27299,291
54968,416
6672,303
29122,271
78419,901
62953,311
50491,405
4101,172
12114,47
30311,188
54622,548
9555,311
89323,479
69211,660
95395,442
25561,405
32787,53
29603,308
86362,701
64199,430
43186,314
51826,697
19480,392
24165,405
96731,639
89082,932
60698,618
33668,458
98003,497
63327,863
87603,833
60930,452
22768,280
27378,293
75960,731
91291,942
53554,267
6196,33
19028,332
38235,455
42028,645
91536,936
96206,716
11248,271
60460,392
44229,479
11825,25
29890,498
25445,11
92259,244
25563,113
6870,145
8773,279
70217,788
29952,56
60730,697
96336,910
70482,707
18309,214
15774,289
88740,934
24715,166
51710,327
19959,384
76734,847
98183,450
68916,329
32617,497
40558,460
94247,899
16912,361
75719,881
79720,940
44102,72
64240,458
62935,846
69900,806
72855,259
55994,721
24332,474
71826,416
82574,870
21194,198
80637,880
91886,189
22688,379
96057,679
76549,503
34714,588
24319,450
55556,488
61985,884
76671,608
42015,328
61855,883
60923,537
21463,396
45960,684
96628,64
40432,642
62887,757
84539,749
85600,763
42519,308
9600,276
50828,761
45841,669
94569,648
30272,450
49731,286
96210,868
34433,524
39664,312
86871,840
88962,413
38652,318
23023,406
20788,233
77894,625
86232,886
77365,622
64496,828
47357,604
80264,938
95601,493
32582,479
47719,458
2121,244
82283,576
47773,589
